width,N,q,F,h,T,seed,s_max,s_mean,steps_to_freeze,is_frozen,avg_mobility
10,100,160,3,0.5,0.2,10220613478303949550,0.02,0.02,200000,True,1.0
10,100,3200,3,0.05,0.2,12128963615726952124,0.010526315789473684,0.010526315789473684,200000,True,1.0
10,100,2400,3,0.05,0.8,12015654233998260496,0.010526315789473684,0.010526315789473684,200000,True,1.0
30,900,20,3,0.05,0.2,3346297689216020920,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
10,100,40,3,0.5,0.8,3498507078887447631,0.12,0.052631578947368425,233283,True,0.10000000000000002
10,100,40,3,0.05,0.8,16883602784331325232,0.11578947368421053,0.038461538461538464,302603,True,0.1157894736842105
10,100,2400,3,0.5,0.2,2365328665828993139,0.02,0.02,200000,True,1.0
10,100,300,3,0.05,0.8,2580941182556630443,0.05263157894736842,0.012658227848101266,605035,True,0.7578210526315791
30,900,40,3,0.5,0.2,14370871199486826064,0.0022222222222222222,0.0022222222222222222,1800000,True,1.0
20,400,800,3,0.05,0.2,17984313779289818228,0.002631578947368421,0.002631578947368421,800000,True,1.0
20,400,4800,3,0.5,0.8,17868308821893247909,0.01,0.005347593582887701,1717615,True,0.8699999999999998
20,400,120,3,0.05,0.2,12725237743234236874,0.002631578947368421,0.002631578947368421,800000,True,1.0
20,400,3200,3,0.5,0.5,6865080144958324824,0.005,0.005,800000,True,1.0
30,900,3200,3,0.05,0.8,11910309822442338526,0.0011695906432748538,0.0011695906432748538,1800000,True,0.9999988304093568
40,1600,4800,3,0.5,0.2,10735558190844100723,0.00125,0.00125,3200002,True,1.0
40,1600,1600,3,0.05,0.2,9810595167528600416,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
10,100,10,3,0.05,0.8,1147859419047045152,0.35789473684210527,0.2,135835,True,0.0
10,100,8000,3,0.05,0.5,16151307352237716401,0.010526315789473684,0.010526315789473684,200000,True,1.0
10,100,120,3,0.05,0.5,12924494288107586901,0.010526315789473684,0.010526315789473684,200000,True,1.0
10,100,10,3,0.5,0.2,18292817580133052210,0.02,0.02,200006,True,0.9994200000000001
20,400,2400,3,0.05,0.2,3842341132099323416,0.002631578947368421,0.002631578947368421,800000,True,1.0
20,400,600,3,0.5,0.5,15849285943850113385,0.005,0.005,800004,True,1.0
20,400,800,3,0.05,0.2,8284400122071448182,0.002631578947368421,0.002631578947368421,800000,True,1.0
20,400,600,3,0.05,0.2,15107412072314735267,0.002631578947368421,0.002631578947368421,800000,True,1.0
20,400,300,3,0.05,0.8,364706189753838028,0.042105263157894736,0.005952380952380952,7605062,True,0.2868421052631579
20,400,1200,3,0.05,0.8,16362593041790040027,0.002631578947368421,0.002631578947368421,800000,True,0.9999921052631578
20,400,40,3,0.05,0.5,3152448803997687657,0.002631578947368421,0.002631578947368421,1189044,True,0.9999921052631577
30,900,8000,3,0.5,0.2,3073009302361271137,0.0022222222222222222,0.0022222222222222222,1800000,True,1.0
10,100,40,3,0.05,0.2,4712180162817431894,0.010526315789473684,0.010526315789473684,200000,True,1.0
20,400,800,3,0.05,0.8,10697066231236324321,0.005263157894736842,0.002645502645502646,803920,True,0.9944342105263159
10,100,20,3,0.05,0.5,4819125692727149769,0.010526315789473684,0.010526315789473684,587790,True,0.9998947368421052
20,400,200,3,0.05,0.2,6367107661840676314,0.002631578947368421,0.002631578947368421,800000,True,1.0
30,900,300,3,0.5,0.5,2507560787649230671,0.0022222222222222222,0.0022222222222222222,1800002,True,0.9999977777777778
10,100,80,3,0.05,0.8,7405767747115646267,0.10526315789473684,0.027027027027027025,484000,True,0.24176842105263152
10,100,200,3,0.05,0.8,14521632408356202013,0.031578947368421054,0.013888888888888888,940207,True,0.5999684210526315
20,400,400,3,0.5,0.2,10284990495010252692,0.005,0.005,800000,True,1.0
10,100,600,3,0.05,0.8,403930549171363433,0.010526315789473684,0.010526315789473684,200000,True,1.0
40,1600,80,3,0.5,0.2,16151769631122198407,0.00125,0.00125,3200001,True,1.0
10,100,120,3,0.5,0.8,17607643878859881804,0.08,0.03225806451612903,248756,True,0.36
10,100,400,3,0.05,0.5,1084840871058434622,0.010526315789473684,0.010526315789473684,200000,True,1.0
40,1600,8000,3,0.5,0.2,10116828031281422182,0.00125,0.00125,3200000,True,1.0
10,100,200,3,0.05,0.5,15363850883803439459,0.010526315789473684,0.010526315789473684,200000,True,1.0
10,100,400,3,0.05,0.5,352401603947963974,0.010526315789473684,0.010526315789473684,200000,True,1.0
10,100,20,3,0.5,0.5,1472558775668733432,0.28,0.08333333333333334,710475,True,0.12056000000000003
40,1600,160,3,0.5,0.5,14370398704879628619,0.00125,0.00125,7590101,True,0.999855
20,400,3200,3,0.05,0.5,18334410233067280921,0.002631578947368421,0.002631578947368421,800000,True,1.0
40,1600,3200,3,0.05,0.5,774700507176071115,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
40,1600,2400,3,0.05,0.2,4649656617941949803,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
30,900,1600,3,0.5,0.5,6230744672014014181,0.0022222222222222222,0.0022222222222222222,1800001,True,1.0
20,400,200,3,0.5,0.5,14658292827765400546,0.005,0.005,1057542,True,0.999885
40,1600,800,3,0.05,0.2,8815037853500909670,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
40,1600,40,3,0.05,0.5,14135142950104144268,0.0006578947368421052,0.0006578947368421052,8352273,True,0.9999940789473684
10,100,2400,3,0.05,0.2,3965026410453805807,0.010526315789473684,0.010526315789473684,200000,True,1.0
30,900,800,3,0.5,0.2,14272082526189283155,0.0022222222222222222,0.0022222222222222222,1800000,True,1.0
40,1600,1600,3,0.05,0.5,16375895934141568812,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
40,1600,80,3,0.5,0.2,1516217911014423827,0.00125,0.00125,3200001,True,1.0
10,100,160,3,0.05,0.8,11246438051279813731,0.05263157894736842,0.013157894736842105,566040,True,0.6952947368421053
40,1600,400,3,0.05,0.5,8051088148955762582,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
40,1600,120,3,0.5,0.2,12492697111168622096,0.00125,0.00125,3200001,True,1.0
30,900,8000,3,0.5,0.5,18114057926433217219,0.0022222222222222222,0.0022222222222222222,1800000,True,1.0
40,1600,800,3,0.5,0.2,17632555608602149162,0.00125,0.00125,3200001,True,1.0
