L,q,F,h,T,m,s_max,s_mean,steps_to_const,is_constant,avg_mobility
10,10,3,0.5,0.3,1,0.5,0.25,1000001,True,0.0
10,10,3,0.5,0.3,2,0.44,0.25,1000001,True,0.0
10,10,3,0.5,0.3,3,0.52,0.5,1000001,True,0.0
10,10,3,0.05,0.3,5,1.0,1.0,1000001,True,0.0
10,10,3,0.05,0.7,9,0.7263157894736842,0.25,1000001,True,0.0
10,10,3,0.05,0.3,2,1.0,1.0,1000001,True,0.0
10,10,3,0.05,0.7,1,0.30526315789473685,0.2,1000001,True,0.0
10,10,3,0.05,0.3,7,1.0,1.0,1000001,True,0.0
10,10,3,0.05,0.7,3,0.8,0.5,1000001,True,0.0
10,10,3,0.05,0.7,6,0.3368421052631579,0.25,1000001,True,0.0
10,10,3,0.05,0.7,10,0.42105263157894735,0.2,1000001,True,0.0
10,10,3,0.05,0.3,9,1.0,1.0,1000001,True,0.0
10,10,3,0.05,0.7,7,0.7789473684210526,0.25,1000001,True,0.0
10,10,3,0.05,0.3,1,0.9789473684210527,0.33333333333333337,1050001,True,0.021052631578957818
10,10,3,0.05,0.3,6,0.968421052631579,0.25,1050001,True,0.031578947368416495
10,10,3,0.05,0.3,10,0.9894736842105263,0.5,1050001,True,0.010526315789478909
10,10,3,0.05,0.7,5,0.8,0.25,1050001,True,0.013835368421049732
10,10,3,0.05,0.7,2,0.8421052631578947,0.33333333333333337,1050001,True,0.010526315789478909
10,10,3,0.05,0.3,3,0.8421052631578947,0.5,1050001,True,0.07104652631577836
10,10,3,0.05,0.7,4,0.9473684210526315,0.33333333333333337,1050001,True,0.010526315789478909
10,10,3,0.05,0.3,8,0.8947368421052632,0.5,1050001,True,0.062192631578937105
10,10,3,0.05,0.7,8,0.35789473684210527,0.2,1050001,True,0.02396210526315598
10,10,3,0.05,0.3,4,0.5789473684210527,0.125,1050001,True,0.15176252631584705
10,10,3,0.5,0.3,5,0.82,0.2,1000001,True,0.0
10,10,3,0.5,0.3,6,0.72,0.25,1000001,True,0.0
10,10,3,0.5,0.3,4,0.48,0.2,1050001,True,0.1395916000000197
10,10,3,0.5,0.3,7,0.64,0.25,1000001,True,0.0
10,10,3,0.5,0.3,8,0.46,0.33333333333333337,1000001,True,0.0
10,10,3,0.5,0.7,1,0.2,0.08333333333333334,1000001,True,0.0
10,10,3,0.5,0.7,2,0.26,0.08333333333333334,1000001,True,0.0
10,10,3,0.5,0.3,10,0.48,0.14285714285714288,1000001,True,0.0
10,10,3,0.5,0.7,3,0.46,0.1111111111111111,1000001,True,0.0
10,10,3,0.5,0.7,4,0.28,0.09090909090909091,1000001,True,0.0
10,10,3,0.5,0.7,5,0.32,0.14285714285714288,1000001,True,0.0
10,10,3,0.5,0.7,7,0.22,0.1111111111111111,1000001,True,0.0
10,10,3,0.5,0.7,8,0.14,0.07692307692307693,1000001,True,0.0
10,10,3,0.5,0.7,10,0.26,0.1111111111111111,1000001,True,0.0
10,10,3,0.5,0.7,9,0.22,0.125,1000001,True,0.0
10,10,3,0.5,0.7,6,0.3,0.09090909090909091,1000001,True,0.0
10,10,3,0.5,0.3,9,0.5,0.08333333333333334,1050001,True,0.28960399999997566
20,10,3,0.05,0.3,4,1.0,1.0,1000001,True,0.0
20,10,3,0.05,0.3,2,1.0,1.0,1000001,True,0.0
20,10,3,0.05,0.3,6,1.0,1.0,1000001,True,0.0
20,10,3,0.05,0.3,1,1.0,1.0,1000001,True,0.0
20,10,3,0.05,0.3,5,1.0,1.0,1000001,True,0.0
20,10,3,0.5,0.3,3,0.845,0.2,1000001,True,0.0
20,10,3,0.05,0.3,3,0.9973684210526316,0.5,1050001,True,0.0026315789473697272
20,10,3,0.5,0.3,1,0.45,0.2,1000001,True,0.0
20,10,3,0.5,0.3,2,0.95,0.2,1000001,True,0.0
20,10,3,0.05,0.3,8,0.9947368421052631,0.5,1000001,True,0.0
20,10,3,0.05,0.3,7,1.0,1.0,1000001,True,0.0
20,10,3,0.05,0.3,9,0.9921052631578947,0.5,1000001,True,0.0
20,10,3,0.05,0.7,1,0.7,0.25,1000001,True,0.0
20,10,3,0.05,0.7,4,0.9236842105263158,0.5,1000001,True,0.0
20,10,3,0.05,0.7,2,0.5210526315789473,0.2,1000001,True,0.0
20,10,3,0.05,0.7,3,0.968421052631579,0.5,1000001,True,0.0
