width,N,q,F,seed,s_max,s_mean,steps_to_freeze,is_frozen
5,25,2,3,242221743,1.0,1.0,4416,True
5,25,2,3,290652899,1.0,1.0,3881,True
5,25,2,3,290718436,1.0,1.0,4967,True
5,25,2,3,290783973,0.84,0.5,3023,True
5,25,2,3,290849510,1.0,1.0,4920,True
5,25,2,3,290915047,1.0,1.0,3484,True
5,25,2,3,290980584,1.0,1.0,3355,True
5,25,2,3,242483891,1.0,1.0,4383,True
5,25,2,3,290521824,1.0,1.0,4267,True
5,25,2,3,290587361,0.96,0.5,2901,True
5,25,2,3,290652898,0.92,0.5,3353,True
5,25,2,3,290718435,1.0,1.0,4455,True
5,25,2,3,290783972,1.0,1.0,3810,True
5,25,2,3,290849509,1.0,1.0,4179,True
5,25,2,3,290915046,0.52,0.5,3017,True
5,25,2,3,242680502,1.0,1.0,4056,True
5,25,2,3,291046120,0.64,0.5,2981,True
5,25,2,3,290980583,1.0,1.0,5227,True
5,25,2,3,291111657,1.0,1.0,3470,True
5,25,2,3,290652897,1.0,1.0,3888,True
5,25,2,3,290718434,1.0,1.0,3507,True
5,25,2,3,290783971,1.0,1.0,5214,True
5,25,2,3,290849508,1.0,1.0,3906,True
5,25,2,3,290915045,1.0,1.0,4194,True
5,25,2,3,290980582,1.0,1.0,3800,True
5,25,2,3,291046119,1.0,1.0,5829,True
5,25,2,3,291111656,0.84,0.5,3975,True
5,25,2,3,291177193,1.0,1.0,4433,True
5,25,2,3,291242730,1.0,1.0,3395,True
5,25,2,3,242418354,1.0,1.0,6461,True
5,25,2,3,290783970,1.0,1.0,4323,True
5,25,2,3,242156206,1.0,1.0,5589,True
5,25,2,3,290849507,1.0,1.0,3722,True
5,25,2,3,290915044,1.0,1.0,3843,True
5,25,2,3,290980581,1.0,1.0,4733,True
5,25,2,3,291046118,1.0,1.0,2978,True
5,25,2,3,291111655,1.0,1.0,3915,True
5,25,2,3,291177192,1.0,1.0,4256,True
5,25,2,3,242352817,1.0,1.0,3363,True
5,25,2,3,291308266,1.0,1.0,3608,True
5,25,2,3,291242729,1.0,1.0,4367,True
5,25,2,3,291373803,1.0,1.0,4147,True
5,25,2,3,290915043,1.0,1.0,4392,True
5,25,2,3,242549428,1.0,1.0,6243,True
5,25,2,3,242287280,1.0,1.0,3581,True
5,25,2,3,242090669,0.52,0.5,3085,True
5,25,2,3,290980580,1.0,1.0,3972,True
5,25,2,3,291046117,1.0,1.0,4181,True
5,25,2,3,291111654,1.0,1.0,4561,True
5,25,2,3,291242728,1.0,1.0,4179,True
5,25,2,3,291177191,1.0,1.0,4278,True
5,25,2,3,291308265,1.0,1.0,3213,True
5,25,2,3,291439339,1.0,1.0,4071,True
5,25,2,3,291373802,1.0,1.0,6154,True
5,25,2,3,291504876,1.0,1.0,3548,True
5,25,2,3,291111653,1.0,1.0,3468,True
5,25,2,3,291046116,1.0,1.0,6366,True
5,25,2,3,291177190,1.0,1.0,4257,True
5,25,2,3,291242727,1.0,1.0,4034,True
5,25,2,3,291308264,1.0,1.0,4109,True
5,25,2,3,291439338,1.0,1.0,3580,True
5,25,2,3,291373801,1.0,1.0,5425,True
5,25,2,3,291570412,1.0,1.0,2930,True
5,25,2,3,291504875,1.0,1.0,3833,True
5,25,2,3,291635949,1.0,1.0,3412,True
5,25,2,3,291177189,0.68,0.5,3178,True
5,25,2,3,291308263,1.0,1.0,3186,True
5,25,2,3,291373800,1.0,1.0,3425,True
5,25,2,3,291242726,1.0,1.0,5565,True
5,25,2,3,291439337,1.0,1.0,4338,True
5,25,2,3,291504874,1.0,1.0,3403,True
5,25,2,3,291570411,1.0,1.0,5530,True
5,25,2,3,291635948,1.0,1.0,3285,True
5,25,2,3,291701485,0.8,0.5,3011,True
5,25,2,3,291767022,1.0,1.0,3957,True
5,25,2,3,291308262,1.0,1.0,4554,True
5,25,2,3,291373799,1.0,1.0,4500,True
5,25,2,3,291439336,1.0,1.0,4272,True
5,25,2,3,291504873,1.0,1.0,5249,True
5,25,2,3,291570410,1.0,1.0,4034,True
5,25,2,3,291635947,0.72,0.5,3871,True
5,25,2,3,291701484,1.0,1.0,3983,True
5,25,2,3,291767021,1.0,1.0,3965,True
5,25,2,3,291832558,0.84,0.5,3292,True
5,25,2,3,291898095,1.0,1.0,3766,True
10,100,2,3,286065370,1.0,1.0,22879,True
10,100,2,3,286130907,1.0,1.0,39694,True
10,100,2,3,285999833,1.0,1.0,60290,True
10,100,2,3,286196444,0.99,0.5,21292,True
10,100,2,3,286261981,1.0,1.0,41666,True
5,25,2,3,242614965,0.64,0.5,3490,True
10,100,2,3,286327518,1.0,1.0,90447,True
10,100,2,3,286393055,1.0,1.0,51956,True
10,100,2,3,286458592,1.0,1.0,32274,True
10,100,2,3,286524129,1.0,1.0,59392,True
10,100,2,3,286589666,1.0,1.0,45813,True
10,100,2,3,337052426,1.0,1.0,48325,True
10,100,2,3,337117963,1.0,1.0,57489,True
10,100,2,3,337183500,1.0,1.0,41497,True
10,100,2,3,337249037,1.0,1.0,24624,True
5,25,2,3,290521826,0.52,0.5,3205,True
10,100,2,3,337314574,1.0,1.0,45820,True
5,25,2,3,290325215,1.0,1.0,4506,True
5,25,2,3,290390752,1.0,1.0,3208,True
10,100,2,3,337380111,1.0,1.0,37121,True
10,100,2,3,337445648,1.0,1.0,39430,True
10,100,2,3,337576722,0.83,0.5,25050,True
10,100,2,3,337511185,1.0,1.0,46223,True
10,100,2,3,337642259,1.0,1.0,55478,True
10,100,2,3,337183499,1.0,1.0,60102,True
10,100,2,3,337249036,1.0,1.0,47529,True
10,100,2,3,337314573,1.0,1.0,37776,True
10,100,2,3,337511184,1.0,1.0,31779,True
10,100,2,3,337380110,1.0,1.0,58669,True
10,100,2,3,337445647,1.0,1.0,81242,True
10,100,2,3,337576721,1.0,1.0,24400,True
10,100,2,3,337773332,1.0,1.0,31772,True
10,100,2,3,337707795,1.0,1.0,80172,True
10,100,2,3,337642258,1.0,1.0,74449,True
10,100,2,3,337314572,1.0,1.0,41875,True
10,100,2,3,337380109,1.0,1.0,32909,True
10,100,2,3,337511183,1.0,1.0,26383,True
10,100,2,3,337445646,1.0,1.0,63827,True
10,100,2,3,337576720,1.0,1.0,48091,True
10,100,2,3,337642257,1.0,1.0,52642,True
10,100,2,3,337773331,1.0,1.0,33749,True
10,100,2,3,337707794,1.0,1.0,62441,True
10,100,2,3,337904405,1.0,1.0,38958,True
10,100,2,3,337838868,1.0,1.0,55688,True
10,100,2,3,337445645,1.0,1.0,32964,True
5,25,2,3,290259678,1.0,1.0,3938,True
10,100,2,3,337511182,1.0,1.0,33926,True
10,100,2,3,337576719,1.0,1.0,29075,True
10,100,2,3,337642256,1.0,1.0,48298,True
10,100,2,3,337707793,1.0,1.0,21424,True
10,100,2,3,337773330,1.0,1.0,55870,True
10,100,2,3,337838867,1.0,1.0,95449,True
10,100,2,3,337904404,1.0,1.0,58187,True
10,100,2,3,337969941,0.93,0.5,18997,True
10,100,2,3,338035478,1.0,1.0,28519,True
5,25,2,3,290652900,1.0,1.0,4777,True
5,25,2,3,290456288,1.0,1.0,3470,True
10,100,2,3,337576718,1.0,1.0,40958,True
5,25,2,3,290456289,1.0,1.0,4794,True
10,100,2,3,337642255,1.0,1.0,57052,True
10,100,2,3,337707792,1.0,1.0,23983,True
10,100,2,3,337773329,1.0,1.0,60048,True
10,100,2,3,337838866,1.0,1.0,38700,True
5,25,2,3,290849511,1.0,1.0,4684,True
5,25,2,3,290718437,1.0,1.0,4287,True
10,100,2,3,337969940,1.0,1.0,60914,True
10,100,2,3,337904403,1.0,1.0,67685,True
5,25,2,3,290587363,1.0,1.0,3508,True
10,100,2,3,338166551,1.0,1.0,22027,True
10,100,2,3,338035477,1.0,1.0,57881,True
10,100,2,3,338101014,1.0,1.0,58758,True
10,100,2,3,337773328,1.0,1.0,26620,True
10,100,2,3,337707791,1.0,1.0,55386,True
5,25,2,3,290783974,1.0,1.0,3802,True
5,25,2,3,290390751,1.0,1.0,3024,True
10,100,2,3,337838865,1.0,1.0,61925,True
10,100,2,3,337969939,1.0,1.0,26000,True
10,100,2,3,338166550,1.0,1.0,24638,True
10,100,2,3,338035476,1.0,1.0,40322,True
10,100,2,3,337838864,1.0,1.0,42365,True
5,25,2,3,290521825,1.0,1.0,4933,True
10,100,2,3,338101013,1.0,1.0,36055,True
10,100,2,3,338297624,1.0,1.0,40141,True
10,100,2,3,338232087,1.0,1.0,54031,True
5,25,2,3,290587362,1.0,1.0,6302,True
10,100,2,3,337969938,1.0,1.0,30683,True
10,100,2,3,337904402,1.0,1.0,90923,True
10,100,2,3,338232086,1.0,1.0,39207,True
10,100,2,3,338035475,1.0,1.0,27678,True
10,100,2,3,338166549,1.0,1.0,53095,True
10,100,2,3,338101012,1.0,1.0,46465,True
10,100,2,3,337969937,1.0,1.0,20344,True
10,100,2,3,338297623,1.0,1.0,50185,True
10,100,2,3,337904401,1.0,1.0,103055,True
10,100,2,3,338363160,1.0,1.0,44574,True
10,100,2,3,338101011,1.0,1.0,27761,True
10,100,2,3,338428697,1.0,1.0,60115,True
10,100,2,3,338035474,1.0,1.0,48114,True
10,100,2,3,338494233,1.0,1.0,26866,True
10,100,2,3,338297622,1.0,1.0,60139,True
10,100,2,3,338166548,1.0,1.0,43596,True
10,100,2,3,338232085,1.0,1.0,64728,True
10,100,2,3,338428696,1.0,1.0,61514,True
10,100,2,3,338232084,1.0,1.0,37556,True
10,100,2,3,338297621,1.0,1.0,29964,True
10,100,2,3,338559770,1.0,1.0,58860,True
10,100,2,3,338166547,1.0,1.0,53992,True
10,100,2,3,338363158,1.0,1.0,29798,True
10,100,2,3,338101010,1.0,1.0,86543,True
10,100,2,3,338428695,1.0,1.0,35088,True
10,100,2,3,338363159,1.0,1.0,78279,True
10,100,2,3,338494232,1.0,1.0,39268,True
10,100,2,3,338559769,1.0,1.0,61097,True
10,100,2,3,338690843,1.0,1.0,77487,True
10,100,2,3,338625306,1.0,1.0,103741,True
15,225,2,3,287376100,1.0,1.0,144908,True
15,225,2,3,287245026,1.0,1.0,158754,True
15,225,2,3,287048415,1.0,1.0,265482,True
15,225,2,3,286982878,1.0,1.0,268833,True
15,225,2,3,287310563,1.0,1.0,223992,True
15,225,2,3,338363151,1.0,1.0,143296,True
15,225,2,3,287572711,1.0,1.0,196936,True
15,225,2,3,287179489,1.0,1.0,340358,True
15,225,2,3,287441637,1.0,1.0,348331,True
15,225,2,3,287507174,1.0,1.0,305993,True
15,225,2,3,287113952,1.0,1.0,486599,True
15,225,2,3,338690836,1.0,1.0,155203,True
15,225,2,3,338494225,1.0,1.0,237867,True
15,225,2,3,338821910,1.0,1.0,161196,True
15,225,2,3,338625299,1.0,1.0,266149,True
15,225,2,3,338559762,1.0,1.0,281529,True
15,225,2,3,338887447,1.0,1.0,172427,True
15,225,2,3,338952984,1.0,1.0,177753,True
15,225,2,3,338559761,1.0,1.0,213487,True
15,225,2,3,338690835,1.0,1.0,124765,True
15,225,2,3,338756373,1.0,1.0,350191,True
15,225,2,3,338428688,1.0,1.0,560670,True
15,225,2,3,338494224,1.0,1.0,444983,True
15,225,2,3,338625298,1.0,1.0,305049,True
15,225,2,3,338821909,1.0,1.0,188473,True
15,225,2,3,338887446,1.0,1.0,172446,True
15,225,2,3,338756372,1.0,1.0,363479,True
15,225,2,3,338952983,1.0,1.0,257601,True
15,225,2,3,339018520,1.0,1.0,180745,True
15,225,2,3,338625297,1.0,1.0,258684,True
15,225,2,3,338821908,1.0,1.0,117452,True
15,225,2,3,339084057,1.0,1.0,332646,True
15,225,2,3,338690834,1.0,1.0,251709,True
15,225,2,3,338756371,1.0,1.0,307208,True
15,225,2,3,339018519,1.0,1.0,134812,True
15,225,2,3,338952982,1.0,1.0,218313,True
15,225,2,3,339149593,1.0,1.0,210954,True
15,225,2,3,338887445,1.0,1.0,485771,True
15,225,2,3,339084056,1.0,1.0,259040,True
15,225,2,3,339215130,1.0,1.0,270922,True
15,225,2,3,339018518,1.0,1.0,129476,True
15,225,2,3,338821907,1.0,1.0,112711,True
15,225,2,3,338952981,1.0,1.0,219767,True
15,225,2,3,338756370,1.0,1.0,445682,True
15,225,2,3,339215129,1.0,1.0,129518,True
15,225,2,3,339149592,1.0,1.0,140514,True
15,225,2,3,338887444,1.0,1.0,450885,True
15,225,2,3,339346203,1.0,1.0,166091,True
15,225,2,3,339280664,1.0,1.0,172517,True
15,225,2,3,339084055,1.0,1.0,211290,True
15,225,2,3,339411738,1.0,1.0,191495,True
15,225,2,3,339346201,1.0,1.0,243133,True
15,225,2,3,339608349,1.0,1.0,147676,True
15,225,2,3,339542812,1.0,1.0,274688,True
15,225,2,3,339149589,1.0,1.0,166070,True
15,225,2,3,339280663,1.0,1.0,169188,True
15,225,2,3,339477275,1.0,1.0,336315,True
15,225,2,3,339215126,1.0,1.0,231959,True
15,225,2,3,339542811,1.0,1.0,161261,True
15,225,2,3,339411737,1.0,1.0,248718,True
15,225,2,3,339477274,1.0,1.0,274758,True
15,225,2,3,339608348,1.0,1.0,271750,True
15,225,2,3,339346199,1.0,1.0,198905,True
15,225,2,3,339411736,1.0,1.0,150477,True
15,225,2,3,339673885,1.0,1.0,265196,True
15,225,2,3,339280662,1.0,1.0,248059,True
15,225,2,3,339477273,1.0,1.0,171929,True
15,225,2,3,339346200,1.0,1.0,459785,True
15,225,2,3,339542810,1.0,1.0,148078,True
15,225,2,3,339739421,1.0,1.0,175832,True
15,225,2,3,339673884,1.0,1.0,197782,True
15,225,2,3,339608347,1.0,1.0,220505,True
15,225,2,3,339739422,1.0,1.0,515941,True
15,225,2,3,339804958,1.0,1.0,252193,True
15,225,2,3,339870495,1.0,1.0,310668,True
