width,q,F,iterationNumber,seed,s_max,s_mean,is_frozen,steps_to_freeze,N
20,2,3,462,393085766,1.0,1.0,True,289241,
20,2,3,361,392823620,1.0,1.0,True,364354,
20,2,3,480,393216838,1.0,1.0,True,769831,
20,2,3,70,338166545,1.0,1.0,True,402990,
20,2,3,251,392495938,1.0,1.0,True,277101,
20,2,3,402,392299328,1.0,1.0,True,701035,
20,2,3,432,392692547,1.0,1.0,True,605477,
20,2,3,103,391775038,1.0,1.0,True,1045427,
20,2,3,152,392364866,1.0,1.0,True,553986,
20,2,3,333,392561475,1.0,1.0,True,1029215,
20,2,3,230,392168255,1.0,1.0,True,996021,
20,2,3,272,392823621,1.0,1.0,True,902721,
20,2,3,249,392889161,1.0,1.0,True,507195,
20,2,3,277,393151306,1.0,1.0,True,766529,
20,2,3,54,338166547,1.0,1.0,True,458098,
20,2,3,438,393085769,1.0,1.0,True,542022,
20,2,3,189,393216844,1.0,1.0,True,524901,
20,2,3,448,393216842,1.0,1.0,True,948319,
20,2,3,490,393347911,1.0,1.0,True,1047091,
20,2,3,145,392430404,1.0,1.0,True,634474,
20,2,3,326,392627013,1.0,1.0,True,857022,
20,2,3,334,392627012,1.0,1.0,True,719645,
20,2,3,255,392758086,1.0,1.0,True,575705,
20,2,3,477,393544524,1.0,1.0,True,1719018,
20,2,3,78,338690841,1.0,1.0,True,561482,
20,2,3,392,393282376,1.0,1.0,True,427773,
20,2,3,63,338232083,1.0,1.0,True,797938,
20,2,3,81,338363155,1.0,1.0,True,616411,
20,2,3,233,392364866,1.0,1.0,True,553986,
20,2,3,56,338297621,1.0,1.0,True,1006619,
20,2,3,215,392233794,1.0,1.0,True,1241854,
20,2,3,68,338559768,1.0,1.0,True,771895,
20,2,3,114,391971648,1.0,1.0,True,471259,
20,2,3,375,393216841,1.0,1.0,True,986857,
20,2,3,302,392102719,1.0,1.0,True,747951,
20,2,3,198,393282380,1.0,1.0,True,560364,
20,2,3,337,392823623,1.0,1.0,True,427268,
20,2,3,468,393478988,1.0,1.0,True,436189,
20,2,3,95,338756376,1.0,1.0,True,398726,
20,2,3,227,392495941,1.0,1.0,True,559046,
20,2,3,397,393610061,1.0,1.0,True,1033082,
20,2,3,381,393085766,1.0,1.0,True,289241,
20,2,3,29,338101013,1.0,1.0,True,886089,
20,2,3,379,393478989,1.0,1.0,True,469087,
20,2,3,304,392233793,1.0,1.0,True,567914,
20,2,3,4,286524126,1.0,1.0,True,1385506,
20,2,3,100,391578427,1.0,1.0,True,447953,
20,2,3,204,392037184,1.0,1.0,True,663905,
20,2,3,170,392495938,1.0,1.0,True,277101,
20,2,3,299,393544526,1.0,1.0,True,396830,
20,2,3,66,338428694,1.0,1.0,True,1313371,
20,2,3,58,338428695,1.0,1.0,True,588201,
20,2,3,377,393347915,1.0,1.0,True,256647,
20,2,3,393,393347913,1.0,1.0,True,1001517,
20,2,3,127,392299332,1.0,1.0,True,414745,
20,2,3,283,393020231,1.0,1.0,True,757842,
20,2,3,23,337707791,1.0,1.0,True,625397,
20,2,3,316,392495940,1.0,1.0,True,514763,
20,2,3,313,392299329,1.0,1.0,True,752496,
20,2,3,331,392430401,1.0,1.0,True,404730,
20,2,3,139,392561479,1.0,1.0,True,568048,
20,2,3,136,392364868,1.0,1.0,True,581580,
20,2,3,7,286720737,1.0,1.0,True,507034,
20,2,3,242,392430402,1.0,1.0,True,1108642,
20,2,3,282,392954694,1.0,1.0,True,621039,
20,2,3,117,392168259,1.0,1.0,True,379809,
20,2,3,83,338494229,1.0,1.0,True,516580,
20,2,3,452,392954693,1.0,1.0,True,384129,
20,2,3,84,338559766,1.0,1.0,True,642718,
20,2,3,44,338035474,1.0,1.0,True,304299,
20,2,3,259,393020234,1.0,1.0,True,420837,
20,2,3,75,338494230,1.0,1.0,True,927727,
20,2,3,57,338363158,1.0,1.0,True,359885,
20,2,3,269,393151307,1.0,1.0,True,768980,
20,2,3,276,393085769,1.0,1.0,True,542022,
20,2,3,238,392692551,1.0,1.0,True,1064651,
20,2,3,292,393085767,1.0,1.0,True,1014502,
20,2,3,403,392364865,1.0,1.0,True,355549,
20,2,3,344,392758085,1.0,1.0,True,541484,
20,2,3,165,392692550,1.0,1.0,True,658286,
20,2,3,475,393413450,1.0,1.0,True,509537,
20,2,3,457,393282378,1.0,1.0,True,1156914,
20,2,3,416,392692549,1.0,1.0,True,1002836,
20,2,3,495,393675596,1.0,1.0,True,701719,
20,2,3,222,392168256,1.0,1.0,True,1383342,
20,2,3,437,393020232,1.0,1.0,True,758828,
20,2,3,496,393741133,1.0,1.0,True,488782,
20,2,3,138,392495942,1.0,1.0,True,893409,
20,2,3,265,392889159,1.0,1.0,True,732596,
20,2,3,218,392430405,1.0,1.0,True,710157,
20,2,3,33,337838864,1.0,1.0,True,1525232,
20,2,3,96,338821913,1.0,1.0,True,1063787,
20,2,3,11,337445644,1.0,1.0,True,442565,
20,2,3,253,392627012,1.0,1.0,True,719645,
20,2,3,464,393216840,1.0,1.0,True,793889,
20,2,3,384,393282377,1.0,1.0,True,489799,
20,2,3,290,392954693,1.0,1.0,True,384129,
20,2,3,366,393151305,1.0,1.0,True,453382,
20,2,3,235,392495940,1.0,1.0,True,514763,
20,2,3,349,393085770,1.0,1.0,True,502859,
20,2,3,8,286786274,1.0,1.0,True,787998,
20,2,3,443,392889157,1.0,1.0,True,447432,
20,2,3,112,391840574,1.0,1.0,True,607334,
20,2,3,364,393020231,1.0,1.0,True,757842,
20,2,3,411,392364864,1.0,1.0,True,556914,
20,2,3,473,393282376,1.0,1.0,True,427773,
20,2,3,164,392627013,1.0,1.0,True,857022,
20,2,3,128,392364869,1.0,1.0,True,1125147,
20,2,3,418,392823623,1.0,1.0,True,427268,
20,2,3,237,392627014,1.0,1.0,True,363966,
20,2,3,203,391971647,1.0,1.0,True,522662,
20,2,3,92,338559765,1.0,1.0,True,529715,
20,2,3,246,392692550,1.0,1.0,True,658286,
20,2,3,74,338428693,1.0,1.0,True,287035,
20,2,3,82,338428692,1.0,1.0,True,247049,
20,2,3,407,392627013,1.0,1.0,True,857022,
20,2,3,343,392692548,1.0,1.0,True,1051608,
20,2,3,137,392430405,1.0,1.0,True,710157,
20,2,3,281,392889157,1.0,1.0,True,447432,
20,2,3,199,393347917,1.0,1.0,True,626460,
20,2,3,328,392758087,1.0,1.0,True,606982,
20,2,3,404,392430402,1.0,1.0,True,1108642,
20,2,3,36,338035475,1.0,1.0,True,1166415,
20,2,3,311,392168255,1.0,1.0,True,996021,
20,2,3,385,393347914,1.0,1.0,True,380964,
20,2,3,433,392758084,1.0,1.0,True,762057,
20,2,3,274,392954695,1.0,1.0,True,590722,
20,2,3,291,393020230,1.0,1.0,True,539989,
20,2,3,294,393216841,1.0,1.0,True,986857,
20,2,3,312,392233792,1.0,1.0,True,792024,
20,2,3,264,392823622,1.0,1.0,True,946509,
20,2,3,192,392889158,1.0,1.0,True,423274,
20,2,3,90,338428691,1.0,1.0,True,630247,
20,2,3,261,392627011,1.0,1.0,True,841745,
20,2,3,154,392495940,1.0,1.0,True,514763,
20,2,3,434,392823621,1.0,1.0,True,902721,
20,2,3,380,393020229,1.0,1.0,True,729441,
20,2,3,359,393216843,1.0,1.0,True,1198177,
20,2,3,373,393085767,1.0,1.0,True,1014502,
20,2,3,64,338297620,1.0,1.0,True,304196,
20,2,3,3,286458589,1.0,1.0,True,491528,
20,2,3,476,393478987,1.0,1.0,True,1106271,
20,2,3,268,393085770,1.0,1.0,True,502859,
20,2,3,42,337904400,1.0,1.0,True,629100,
20,2,3,371,392954693,1.0,1.0,True,384129,
20,2,3,135,392299331,1.0,1.0,True,1292269,
20,2,3,193,392954695,1.0,1.0,True,590722,
20,2,3,102,391709501,1.0,1.0,True,564918,
20,2,3,226,392430404,1.0,1.0,True,634474,
20,2,3,400,392168254,1.0,1.0,True,565949,
20,2,3,454,393085767,1.0,1.0,True,1014502,
20,2,3,394,393413450,1.0,1.0,True,509537,
20,2,3,123,392037184,1.0,1.0,True,663905,
20,2,3,463,393151303,1.0,1.0,True,543407,
20,2,3,144,392364867,1.0,1.0,True,872239,
20,2,3,172,392627012,1.0,1.0,True,719645,
20,2,3,444,392954694,1.0,1.0,True,621039,
20,2,3,415,392627012,1.0,1.0,True,719645,
20,2,3,158,392758088,1.0,1.0,True,304781,
20,2,3,30,337642253,1.0,1.0,True,939389,
20,2,3,176,392889160,1.0,1.0,True,441253,
20,2,3,497,393806670,1.0,1.0,True,520295,
20,2,3,348,393020233,1.0,1.0,True,716413,
20,2,3,80,338297618,1.0,1.0,True,688920,
20,2,3,38,338166549,1.0,1.0,True,389511,
20,2,3,498,393872207,1.0,1.0,True,789183,
20,2,3,101,391643964,1.0,1.0,True,283795,
20,2,3,374,393151304,1.0,1.0,True,317661,
20,2,3,19,337969940,1.0,1.0,True,403406,
20,2,3,182,392758085,1.0,1.0,True,541484,
20,2,3,320,392233791,1.0,1.0,True,1129867,
20,2,3,168,392889161,1.0,1.0,True,507195,
20,2,3,61,338101009,1.0,1.0,True,595916,
20,2,3,211,391971646,1.0,1.0,True,1045188,
20,2,3,351,392692547,1.0,1.0,True,605477,
20,2,3,169,392954698,1.0,1.0,True,1514213,
20,2,3,324,392495939,1.0,1.0,True,573248,
20,2,3,25,337838865,1.0,1.0,True,310566,
20,2,3,405,392495939,1.0,1.0,True,573248,
20,2,3,350,392627010,1.0,1.0,True,459251,
20,2,3,450,392823619,1.0,1.0,True,1217764,
20,2,3,309,392561478,1.0,1.0,True,388164,
20,2,3,59,338494232,1.0,1.0,True,754864,
20,2,3,257,392889160,1.0,1.0,True,441253,
20,2,3,338,392889160,1.0,1.0,True,441253,
20,2,3,256,392823623,1.0,1.0,True,427268,
20,2,3,236,392561477,1.0,1.0,True,941628,
20,2,3,76,338559767,1.0,1.0,True,443121,
20,2,3,487,393675597,1.0,1.0,True,1625570,
20,2,3,388,393544525,1.0,1.0,True,764684,
20,2,3,286,393216842,1.0,1.0,True,948319,
20,2,3,17,337838866,1.0,1.0,True,814551,
20,2,3,47,338232085,1.0,1.0,True,1028624,
